target,tweet,stance
We should end mandatory retirement,mandatory retirement allows new workers to take the place of older workers that are past their prime and just need to retire.,-1
We should end mandatory retirement,mandatory retirement allows room for the younger generation to receive jobs.,-1
We should end mandatory retirement,"Mandatory retirement allows there to be enough jobs for the next generation, which is more important since these are people who don't have family to rely on and are only starting to build their lives.",-1
We should end mandatory retirement,mandatory retirement allows those that are willing to work beyond retirement age because they feel more younger than their peers and have nothing better that they would rather do.,1
We should end mandatory retirement,mandatory retirement allows workplaces to free up jobs for younger workers,-1
We should end mandatory retirement,mandatory retirement allows young people to bring new ideas into the work force.,-1
We should end mandatory retirement,mandatory retirement allows younger generations to get a fair chance to advance and is therefore necessary.,-1
We should end mandatory retirement,mandatory retirement amounts to age discrimination and can leave those who are forced to retire without the sense of purpose that work could bring.,1
We should end mandatory retirement,"Mandatory retirement as a blanket policy is unnecessary, as those who are unable to perform their job can be released for cause without the policy, while valuable employees can remain.",1
We should end mandatory retirement,"mandatory retirement assumes that when people get to be a certain age, they are worthless in the workforce.  having a job should be based on ability, not a number",1
We should end mandatory retirement,mandatory retirement brings fresh ideas into the workforce with the influx of younger workers.  this is a good thing.,-1
We should end mandatory retirement,mandatory retirement brings too much stress to both businesses who are now out a knowledgeable employee and to the person who now no longer has employment.,1
We should end mandatory retirement,mandatory retirement can be necessary for those who feel overly obligated to their job and remove any guilt they may feel about letting go and enjoying life.,-1
We should end mandatory retirement,"mandatory retirement can force older, less-resilient workers out of the workforce, replacing them with younger, better workers.",-1
We should end mandatory retirement,Mandatory retirement contributes to leaving older people feeling directionless after being forced to stop working against their will. This contributes to high rates of depression and other mental illnesses in older populations.,1
We should end mandatory retirement,Mandatory retirement corrects for the fact that older people are always going to be less educated on new technology and slower than younger ones.,-1
We should end mandatory retirement,"Mandatory retirement could force whole blocks of experienced veterans to retire every year, with a deleterious effect on industry",1
We should end mandatory retirement,Mandatory retirement creates a society that recognizes the unique needs of the older population and encourages social spending to support them.,-1
We should end mandatory retirement,"mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.",-1
We should end mandatory retirement,mandatory retirement creates jobs for younger people who may otherwise struggle to find employment.,-1
We should end mandatory retirement,Mandatory retirement decreases worker morale when employees lose individuals who served as mentors or who they thought were good co-workers.,1
We should end mandatory retirement,mandatory retirement denigrates the experienced professional who has worked for years. we must end this practice because it undermines the economic and emotional stability of the individual,1
We should end mandatory retirement,mandatory retirement deprives younger employees the knowledge and wisdom of older co-workers,1
We should end mandatory retirement,Mandatory retirement discourages productivity in the individuals who are nearing the age since they know they will have to leave their work soon and won't be getting any new promotions or bonuses.,1
We should end mandatory retirement,mandatory retirement discriminates against older people by assuming they have nothing to offer anymore because of their age,1
We should end mandatory retirement,"mandatory retirement discriminates based on age, not ability and should be ended",1
We should end mandatory retirement,"Mandatory retirement discriminates people based on their age, as it doesn't take into account the capacity of the individual to perform their job at a high level.",1
We should end mandatory retirement,"mandatory retirement enables workforces to constantly refresh, opening the door for a younger intake and providing room for upward growth.",-1
We should end mandatory retirement,mandatory retirement encourages renewal and revitalization in the workforce and so should be maintained.,-1
We should end mandatory retirement,mandatory retirement ensures a turnaround of the workforce and positions at entry level,-1
We should end mandatory retirement,Mandatory retirement ensures that at least some positions open up in a profession on a predictable basis. It allows younger workers to enter the field as older workers exit.,-1
We should end mandatory retirement,Mandatory retirement ensures that companies and professions are constantly infusing their workforces with fresh talent.,-1
We should end mandatory retirement,"mandatory retirement ensures that others get a chance to enter into the top levels of the job market when they become qualified for it, without having to wait for others to decide they are ready  or incapable.",-1
We should end mandatory retirement,"Mandatory retirement ensures that people don't spend their entire lives working, but have some leisure time in their golden years to spend with their families and loved ones.",-1
We should end mandatory retirement,mandatory retirement ensures that there are jobs available for younger candidates and also ensures that older people are not forced to continue working due to financial restraints.,-1
We should end mandatory retirement,mandatory retirement ensures there are places in the workplace for those who are starting their careers,-1
We should end mandatory retirement,mandatory retirement ensures younger generations have a chance to succeed in the workforce,-1
We should end mandatory retirement,Mandatory retirement forces companies to exert resources in finding and hiring replacements for individuals they might not have been planning on replacing.,1
We should end mandatory retirement,mandatory retirement forces good people to retire,1
We should end mandatory retirement,mandatory retirement forces healthy able bodied people out of the work force,1
We should end mandatory retirement,"mandatory retirement forces people out of jobs they love and know well, and should therefore be stopped",1
We should end mandatory retirement,"Mandatory retirement forces people out of the workforce not because they are incapable of continuing to work, but due to an uncontrollable characteristic that doesn't predict personal qualifications.",1
We should end mandatory retirement,mandatory retirement forces people to end careers before they are ready,1
We should end mandatory retirement,mandatory retirement forces people to stop working as they are more vulnerable to disease and health problems as they get older,-1
We should end mandatory retirement,Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.,1
We should end mandatory retirement,mandatory retirement frees up jobs for new people in the labor market,-1
We should end mandatory retirement,"mandatory retirement frees up jobs that would otherwise be held by the same people for years, and would eliminate any mistakes being made by people no longer fit for the job. therefore it needs to continue.",-1
We should end mandatory retirement,Mandatory retirement fuels social isolation in older populations because we live in a society that encourages the development of social lives around your work.,1
We should end mandatory retirement,mandatory retirement having so many positive outcomes and the biggest one is that young people get experience and also in today digitalised world young people understand better than older generations.,-1
We should end mandatory retirement,Mandatory retirement helps combat unemployment among young people.,-1
We should end mandatory retirement,mandatory retirement helps create space in the workforce for younger more educated workers.,-1
We should end mandatory retirement,mandatory retirement helps keep the number of workplace incidents down.,-1
We should end mandatory retirement,mandatory retirement helps keep the work force young and vital,-1
We should end mandatory retirement,mandatory retirement helps keeps the workplace productivity up,-1
We should end mandatory retirement,mandatory retirement helps the workforce by getting some of the older workers out of the system and allowing for a natural flow of new workers to join the fold.,-1
We should end mandatory retirement,mandatory retirement helps to create certainty on the leaving date of workers thus making it easier to manage,-1
We should end mandatory retirement,mandatory retirement helps younger generations by opening up more positions in the workforce,-1
We should end mandatory retirement,mandatory retirement helps younger workers get jobs,-1
We should end mandatory retirement,"Mandatory retirement in some fields is necessary because at a certain age, people can not perform their duties like younger employees.",-1
We should end mandatory retirement,mandatory retirement is a blessing and people should take advantage of it to enjoy life earlier than later,-1
We should end mandatory retirement,mandatory retirement is a form of age discrimination.,1
We should end mandatory retirement,"mandatory retirement is a form of discrimination - people should be able to work in their fields for as long as they wish, insofar as they are still able to perform their duties.",1
We should end mandatory retirement,"mandatory retirement is a form of discrimination, namely ageism, we cannot allow as a free society discrimination of any kind",1
We should end mandatory retirement,mandatory retirement is a good policy as it brings in new people with new ideas and fresh skills into the company,-1
We should end mandatory retirement,mandatory retirement is a good thing to prevent people from working well past when they should be working.,-1
We should end mandatory retirement,"mandatory retirement is a good way of refreshing the workforce, motivating those lower in the pecking order and creating employment opportunities.",-1
We should end mandatory retirement,Mandatory retirement is a unnuanced policy that is always use than employer discretion.,1
We should end mandatory retirement,mandatory retirement is age discrimination,1
We should end mandatory retirement,"mandatory retirement is age discrimination - if a people has the relevant skills and still capable of performing their duties, they should have the option of working for as long as they wish.",1
We should end mandatory retirement,mandatory retirement is age discrimination and shouldn't be allowed to happen.,1
We should end mandatory retirement,mandatory retirement is age discrimination and therefore should be ended.,1
We should end mandatory retirement,Mandatory retirement is age-based discrimination. It is discriminatory to assume that everyone who reaches the age of 65 or 70 is incompetent.,1
We should end mandatory retirement,mandatory retirement is an archaic practice based from when a persons life span was tens of years less than today. people are vibrant and can be contributing members of society well into their senior years.,1
We should end mandatory retirement,mandatory retirement is an extremely detrimental concept as businesses can lose their most valued and knowledgeable employees,1
We should end mandatory retirement,mandatory retirement is bad for older workers,1
We should end mandatory retirement,mandatory retirement is beneficial to the workforce and to employers. new hires get paid less than seasoned workers and can often do the job at a higher rate of speed.,-1
We should end mandatory retirement,mandatory retirement is discrimination against older people who may still have something of value to contribute to society.,1
We should end mandatory retirement,Mandatory retirement is discriminatory and outdated.,1
We should end mandatory retirement,mandatory retirement is discriminatory and people should have free choice when they wants to retire.,1
We should end mandatory retirement,mandatory retirement is discriminatory and should be banned,1
We should end mandatory retirement,"Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it.",1
We should end mandatory retirement,mandatory retirement is essential to allow for people to move up the career ladder and obtain higher positions in companies.,-1
We should end mandatory retirement,mandatory retirement is essential to make sure jobs are available for the younger generation. if older people clog up jobs you are limiting the opportunities and life chances for the next generation.,-1
We should end mandatory retirement,Mandatory retirement is good for companies by making space for new ideas and innovation.,-1
We should end mandatory retirement,mandatory retirement is harmful to the nation's productivity and economy,1
We should end mandatory retirement,"mandatory retirement is harsh.  it pushes workers who might still be viable out of the workforce for no other reason than their age, often leaving them to struggle.",1
We should end mandatory retirement,mandatory retirement is important for people to heed to so that the older generation can enjoy their lives more,-1
We should end mandatory retirement,"mandatory retirement is necessarily, in many cases, to force someone out of a job that their age dictates they can no longer do appropriately.",-1
We should end mandatory retirement,"mandatory retirement is necessary in some fields to let go of the older, more error-prone workers.",-1
We should end mandatory retirement,mandatory retirement is necessary to free jobs for young people,-1
We should end mandatory retirement,mandatory retirement is needed to keep businesses new and fresh with innovation from the younger generation.,-1
We should end mandatory retirement,mandatory retirement is needed to pump new life and ideas into business places,-1
We should end mandatory retirement,mandatory retirement is not fair for those who are actually more than capable to carry on with their jobs,1
We should end mandatory retirement,"mandatory retirement is physically, mentally and emotionally damaging to individuals",1
We should end mandatory retirement,mandatory retirement is purely age discrimination,1
We should end mandatory retirement,"mandatory retirement is sidelining those who are still capable of working, leading to poor mental health and isolation",1
We should end mandatory retirement,"mandatory retirement is sometimes necessary to get rid of older, slower, more error-prone workers, infusing the talent pool with younger, fresher minds.",-1
We should end mandatory retirement,mandatory retirement is too much of a one-size-fits-all policy that refuses to take into account the physical and mental health of each individual worker.,1
We should end mandatory retirement,Mandatory retirement is unconstitutional ageism because it discriminates on inalienable characteristics of the worker.,1
We should end mandatory retirement,Mandatory retirement is unethical because it tries to push out workers who have earned higher wages through years of hard work.,1
We should end mandatory retirement,mandatory retirement is unfair for those older in the workforce who are still valuable and actively want to continue contributing to the workforce,1
We should end mandatory retirement,mandatory retirement is unfair to people who need a job when social security cannot pay the bills,1
We should end mandatory retirement,mandatory retirement is unfair to those who will still need the income to survive after a certain age.,1
We should end mandatory retirement,mandatory retirement is useful. creating a scheme in which old workers retired to give place to young workers permits to revive the economy and brings in fresh ideas and innovation,-1
We should end mandatory retirement,mandatory retirement is violation of people freedom and their choice.,1
We should end mandatory retirement,mandatory retirement keeps more work accidents from happening.,-1
We should end mandatory retirement,mandatory retirement keeps professions and companies lively and dynamic,-1
We should end mandatory retirement,mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.,-1
We should end mandatory retirement,mandatory retirement leaves people feeling useless when they don’t want to retire and have to.,1
We should end mandatory retirement,Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.,-1
We should end mandatory retirement,Mandatory retirement makes people who are still effective and enjoy their work quit long before they are ready.,1
We should end mandatory retirement,mandatory retirement makes room for younger workers,-1
We should end mandatory retirement,mandatory retirement makes room in the workforce for younger more able bodied individuals to work.,-1
We should end mandatory retirement,mandatory retirement makes sure that fresh ideas and fresh bodies keep flowing through business which is a good thing.,-1
We should end mandatory retirement,Mandatory retirement makes sure that people don't stay at jobs long after they have become unable to really perform them well.,-1
We should end mandatory retirement,Mandatory retirement makes the older generation the economic burden of the ones below them (since they can no longer support themselves) which is worse than just allowing them to keep working.,1
We should end mandatory retirement,Mandatory retirement means that individuals who need jobs but are a few years below the age won't get hired because companies see them as not worth training resources given that they won't be around for long.,1
We should end mandatory retirement,mandatory retirement means that people will not be forced to carry on working when they no longer feel physically able to do so.,-1
We should end mandatory retirement,mandatory retirement means that there opportunities for younger people become available regularly and people retire  before they become inefficient at their jobs.,-1
We should end mandatory retirement,"mandatory retirement might force people who are not financially ready to leave the workplace to do so, leaving them out of resources at an age where they absolutely can no longer work.",1
We should end mandatory retirement,mandatory retirement must be followed as will open positions for young people and get them employed and secured.,-1
We should end mandatory retirement,"Mandatory retirement often forces out the most skilled and experienced members of the labor force, meaning from an economic perspective it leads to declined productivity and quality of goods and services.",1
We should end mandatory retirement,mandatory retirement only supports the company/organization and does nothing positive for the individuals forced to retire.,1
We should end mandatory retirement,Mandatory retirement opens more jobs for young people who need to get experience under their belt to avoid homelessness and poverty.,-1
We should end mandatory retirement,mandatory retirement opens opportunities for younger people and may be more cost effective as older people are more experienced and can command higher salaries,-1
We should end mandatory retirement,mandatory retirement opens up jobs for those unemployeed or are starting out in the workplace.,-1
We should end mandatory retirement,mandatory retirement opens up the workforce for an entire generation.,-1
We should end mandatory retirement,Mandatory retirement precludes older people in poor economic situations from being able to support themselves.,1
We should end mandatory retirement,mandatory retirement provides a clearly drawn line that workers know they will be subject to and can plan accordingly,-1
We should end mandatory retirement,"Mandatory retirement pulls individuals with valuable experience and institutional knowledge out of the worker pool, decreasing the resources that companies have.",1
We should end mandatory retirement,mandatory retirement put high-skilled workers out of jobs. putting a pressure in the working field and jeopardizing economic progress,1
We should end mandatory retirement,Mandatory retirement puts pressure on the government to maintain social services for older people such as Social Security and pension programs that benefit society as a whole.,1
We should end mandatory retirement,mandatory retirement relies on people having good enough pensions for them to survive. if they do not have this then they will need to be looked after by the state,1
We should end mandatory retirement,mandatory retirement removes experienced personnel form the rosters who still have many working years ahead of them due to longer life spans.,1
We should end mandatory retirement,mandatory retirement requires employees to retire when they've got knowledge to teach younger employees,1
We should end mandatory retirement,"mandatory retirement results in the damaging loss of highly skilled, highly experienced employees who are often irreplaceable - this has negative knock-on economic effects.",1
We should end mandatory retirement,"mandatory retirement results in the loss of institutional knowledge, which can have devastating consequences.",1
We should end mandatory retirement,mandatory retirement serves a purpose. the job market would be crowded out by those past retirement leaving those entering the work force no jobs. that inceases poverty and throws the economy into chaos.,-1
We should end mandatory retirement,"mandatory retirement should be abolished as lifespans increase and older people are more able and active than ever, making the old retirement ages useless.",1
We should end mandatory retirement,mandatory retirement should be ended as it is discriminatory.,1
We should end mandatory retirement,mandatory retirement should be ended as it is unfair on older people.,1
We should end mandatory retirement,mandatory retirement should be ended because it could force many seasoned veterans to retire every year,1
We should end mandatory retirement,"Mandatory retirement should be in place for careers that require good physical health, younger ages and good flexibility such as law enforcement or any first responder career.",-1
We should end mandatory retirement,mandatory retirement should be in place for positions that rely on physical and mental acuity  to make sound decisions. reflexes slow as a person ages and many positions are not appropriate for a senior.,-1
We should end mandatory retirement,"mandatory retirement should be phased out as humans live longer, the old age markers for retirement become more and more out of step with how active older people are.",1
We should end mandatory retirement,mandatory retirement should be required in order to bring in new blood with new ideas and concepts,-1
We should end mandatory retirement,mandatory retirement should continue because it keeps the workforce fresh,-1
We should end mandatory retirement,mandatory retirement should end because it cuts everyone off at a certain age.  many people are able to work and need to work well past that age.,1
We should end mandatory retirement,Mandatory retirement should not be allowed because many people can't live off of their pensions and need to keep working.,1
We should end mandatory retirement,"mandatory retirement should not be removed as it would largely affect those at the lower end of the socio-ecomonic scale, meaning the poorest would work until death.",-1
We should end mandatory retirement,mandatory retirement should stop because older people should not be pushed out.,1
We should end mandatory retirement,mandatory retirement shouldn't be ended because it the veteran workers already know their job and wouldn't have to spend money on people trying to train the new workers,-1
We should end mandatory retirement,mandatory retirement takes trained individuals from the workforce,1
We should end mandatory retirement,Mandatory retirement transitions older people into the next stage of their lives.,-1
We should end mandatory retirement,Mandatory retirement undermines older workers in the work place who lose out on friends and support systems.,1
We should end mandatory retirement,mandatory retirement weeds out those who are not as capable of performing their jobs,-1
We should end mandatory retirement,mandatory retirement would allow more employment opportunities for the young and people wanting to start families.,-1
We should introduce compulsory voting,mandatory voting is the best way to ensure that elected officials truly reflect the will of the people.,1
We should end mandatory retirement,"mandatory would allow for new ideas, fresh perspectives, that may not be accepted by someone who has been applying the same work method that is perceived as antiquated.",-1
We should subsidize space exploration,mankind has so much more to learn about physics and the nature of things through space exploration that it must be subsidized.,1
We should subsidize space exploration,mankind will eventually have to colonize space to avoid extinction. we should start working on it immediately,1
We should ban whaling,many animals are killed for food the world over and one nation has no right to judge another on what they choose to kill for sustenance.,-1
We should abolish zoos,Many animals that simply wouldn't survive in the wild are protected in our zoos where they're cared for by very special individuals who often form very strong bonds with the them.,-1
We should abolish zoos,many animals would become extinct if we did not have zoos.,-1
We should ban whaling,many believe that whaling is still necessary for scientific purposes,-1
We should end affirmative action,many blacks are living in poverty because of our racist history.  they don't have the same funding for good schools as whites and asians do.   until this changes we should keep affirmitive action going.,-1
We should ban fast food,"many brands are now offering healthier options such as salads & vegetarian foods, just because its called fast food doesn't mean its unhealthy",-1
Entrapment should be legalized,"many career criminals are simply good at ""not getting caught"". this is sometimes the only method that will get them off of the streets.",1
We should ban the use of child actors,Many child actors are put under a huge amount of pressure to perform well and can be denied most of their childhood by unscrupulous adults that only want to profit from their talents.,1
We should ban the use of child actors,many child actors aren’t taught how to cope with fame and end up turning to drugs and alcohol which is bad for them.,1
We should ban the use of child actors,Many child actors end up being exploited by the studios and even their own management and families.,1
We should ban the use of child actors,"many child actors go on to being adult actors without any problems.  if anything, perhaps more screening of children before allowing them to go into the profession.",-1
We should ban the use of child actors,many child actors love performing.  if they and their parents decide it is right for them then who are us to put restraints on their ability to work in theater and movies.,-1
We should ban the use of child actors,many child actors successfully balance acting with school and grow up to be well adjusted adults.,-1
Foster care brings more harm than good,many children are moved from home to home without finding a good family.,1
Foster care brings more harm than good,"Many children are placed in group settings rather than in family settings. Without connections to an adoptive family, they're likely to age out of the system without a supportive network in place.",1
Foster care brings more harm than good,many children flourish in foster care after being removed from unsafe environments,-1
Foster care brings more harm than good,"many children get stuck in the foster care system, having neither their biological family nor a permanent adoptive family",1
We should ban the use of child actors,Many children have a love of and a desire to go into acting and should not be prevented from doing so.,-1
We should ban the use of child actors,"Many children have illusions of appearing in novels and movies, this can not be prohibited",-1
Foster care brings more harm than good,"many children in foster care are not adequately supervised by social services, and thus are often mistreated.",1
Foster care brings more harm than good,many children in foster care aren’t able t stay long enough to form bonds with their carers.,1
Foster care brings more harm than good,many children in foster care have been rescued from abusive households,-1
Foster care brings more harm than good,many children in the foster care system have issues that can destroy a family.,1
We should abandon television,many children learn letters and numbers and a great many things because of educational television,-1
Homeschooling should be banned,many children prosper from homeschooling.,-1
Homeschooling should be banned,many children that are home schooled lack the social skills needed to get a good job,1
We should subsidize embryonic stem cell research,many citizens are morally opposed to using embryonic stem cells and using their tax dollars to fund it would be immoral.,-1
We should subsidize journalism,many communities have little or no coverage of local events subsidized journalism would help to fill this gap.,1
We should subsidize space exploration,many companies today have the means and resources to do a better and more efficient job of space exploration than today's overburdened government.,-1
We should legalize polygamy,many countries and religions around the world allow polygamy as it is not taboo as it once was and society is much different than when polygamy was considered illegal and immoral,1
We should ban whaling,many countries in the world has whaling as a part of their economy growth and banning whaling will effect that.,-1
We should legalize organ trade,many countries struggle with organ needs and if we have a surplus in the united states or wherever we should be helping people in need in other countries.   we are all humans.,1
Surrogacy should be banned,many couples need a surrogate to be able to have children and this should be their choice.,-1
We should cancel pride parades,many cultures simply would not tolerate a gay pride parade,1
We should ban telemarketing,many customers worry these calls could be scams.,1
We should abolish capital punishment,Many death row inmates have been proven to be innocent once new forms of forensic analysis has been invented.,1
We should oppose collectivism,many deaths have happened due to collectivism and no matter how it's put into practice it doesn't work.,1
We should legalize polygamy,"many different species in nature are not mated for life with one other, and people should be no different; polygamy should be legal.",1
We should ban whaling,many economies are sustained thanks to whaling,-1
We should abolish capital punishment,Many executions are botched and thus produce excessive and unjustified pain and torture,1
We should limit executive compensation,many executives have little functional role in the company so don't deserve such high salaries,1
Homeschooling should be banned,many families are adopting their own curriculum and are leaving out important details. children's educations are being limited because their parents have limited education.,1
We should subsidize stay-at-home dads,"many families need help, and have an unconventional life where the dad stays home to raise the kids.  these families should be helped in any way possible.",1
We should ban fast food,"many fast foods can be prepared quickly, furthermore, healthier food tends to be more expensive",-1
We should ban the use of child actors,many films and television shows have child roles which could only be filled by children. as long as the children are protected it means that the finished product will have higher artistic integrity.,-1
Foster care brings more harm than good,Many foster children have behavioral or cognitive problems which foster care parents are not prepared to deal with.,1
Foster care brings more harm than good,many foster kids never adjust to their new family,1
Foster care brings more harm than good,many foster parents are into this for financial gain only.,1
Foster care brings more harm than good,"many foster parents do it for the money and do not actually take care of their foster children, and in some cases even abuse them.",1
Foster care brings more harm than good,"Many foster parents do so for many children over their lives, and genuinely care about the well-being of those children and are active in working to address the current issue the system faces, providing accountability.",-1
Foster care brings more harm than good,"many get into foster care for the wrong reasons, the money.   in order to make said money people often treat the children in their care in a neglectful way.",1
We should ban the use of child actors,many great actors of today started as children and had no problem in their growth,-1
Homeopathy brings more harm than good,many homeopathic remedies are not tested by the fda or health professionals which can be detrimental to your health,1
Homeschooling should be banned,many homeschool kids are smarter and learn more than kids in public school.,-1
We should stop the development of autonomous cars,many human jobs would be lost with the introduction of autonomous cars,1
We should abolish capital punishment,many innocent lives were being taken by this profoundly flawed practice,1
We should abolish the right to keep and bear arms,"Many innocent people lose their lives each year due to domestic accidents with guns, many of these children who find household guns and play with them thinking they are toys with disastrous consequences.",1
We should abolish capital punishment,many innocents have been killed as a result of capital punishment.  even one innocent killed is one too many.,1
We should ban whaling,many jobs will be lost if whaling is banned.,-1
We should end mandatory retirement,"Many jobs, like airplane pilots and doctors, are tasked with they physical safety of hundred of others. Companies have an obligation to make sure people holding those positions are the most capable, which old age threatens.",-1
Homeopathy brings more harm than good,Many key concepts of homeopathy are not consistent with fundamental concepts of chemistry and physics.,1
Foster care brings more harm than good,many kids get abused in foster care,1
We should limit judicial activism,many laws need to change with the times and a judge is in a better position than our elected officials to accurately and fairly review those laws.,-1
We should prohibit flag burning,many lives have been lost defending the flag and the country it represent. burning the flag is a complete slap in the face to everything our country stands for.,1
We should subsidize embryonic stem cell research,many look at this type of research as experimental.,-1
We should ban whaling,"many low-income families depend on whaling, we can not take away their livelihood",-1
We should ban cosmetic surgery for minors,many minors are more mature than some adults and have the right to make decisions for themselves.,-1
We should ban cosmetic surgery for minors,"many minors suffer terribly with low self-esteem, and cosmetic surgery may help to ease this and improve their quality fo life.",-1
Homeopathy brings more harm than good,many of our medicines come from herbs originally and this is just another healing pathway that can be beneficial.,-1
We should fight urbanization,"many of our natural habitats and ecosystems have been lost to urbanization, thereby rendering some many species of animals endangered",1
We should adopt a multi-party system,Many of the campaign and governance-based laws are designed around a two-party system.,-1
We should subsidize vocational education,Many of the careers offered at vocational schools provide  essential services to the community.,1
We should close Guantanamo Bay detention camp,Many of the detainees at Guantanamo Bay shouldn't be there. They were simply in the wrong place at the wrong time.,1
We should subsidize space exploration,many of the technological advances brought about by space exploration have eventual benefits for society in general.,1
We should ban the use of child actors,many of these kids want to pursue acting as an adult and this can be a great way to do just that.,-1
We should abandon television,many old folks don't have a computer and it is their form of entertainment,-1
We should end mandatory retirement,many older people are perfectly capable of contributing to the workforce.  they should not be punished by being forced to retire at a particular age,1
Homeschooling should be banned,many parents aren’t educated well enough to teach their children.,1
Homeschooling should be banned,many parents teaching their children are not qualified and eventually it will take it's toll on their children.,1
We should ban whaling,many parts of the whale provide useful goods.  it helps the economy in certain locations.,-1
We should abolish capital punishment,"many people are falsely executed for crimes they didn’t commit, and if this was abolished that wouldn’t happen.",1
Homeopathy brings more harm than good,many people are seeking alternative medicine like homeopathy because it is cheaper and easier to self medicate than to see a doctor.,-1
We should legalize organ trade,many people are sick and dieing due to an organ that needs to be replaced.  if another person wants to be paid for giving a healthy organ why should it be stopped.  it can do no harm.,1
Assisted suicide should be a criminal offence,many people are suffering terribly but are physically incapable of dying on their own,-1
We should introduce compulsory voting,many people are uninformed about the issues and we are better off with them not voting,-1
We should ban naturopathy,many people benefit from massage and therefore banning naturopathy makes no sense as it does have some legitimate uses,-1
We should ban whaling,many people benefit from the whaling industry and depend on it for their livelihood,-1
We should subsidize vocational education,many people can improve their lives with this education,1
We should end mandatory retirement,many people can not afford to retire and thus should not be forced to.,1
We should introduce compulsory voting,"many people choose not to vote when they should, and then they decide they have a right to complain about political issues.",1
We should abolish capital punishment,many people deserve to die for their actions,-1
We should ban telemarketing,Many people do not enjoy receiving telemarketing calls and find them very annoying.,1
We should adopt gender-neutral language,many people do not feel comfortable with their gender and feel offended when we use inappropriate words,1
Assisted suicide should be a criminal offence,"many people do not have the mental capacity to comprehend the finality of assisted suicide and it will be abused, and it should be a criminal offence to any persons involved.",1
We should adopt gender-neutral language,many people don't feel it' necessary and still prefer to refer to a police officer as a police woman or police man.,-1
We should prohibit flag burning,"Many people don't feel represented or supported by the government, and shouldn't have to pay deference to a symbol that actively oppresses them.",-1
Homeopathy brings more harm than good,many people don't trust doctors and would rather take matters into their own hands; it's their body and they can try whatever homeopathic remedy they want,-1
Homeopathy brings more harm than good,"many people experience alleviation of their symptoms due to homeopathy, and it is an avenue worth exploring for sufferers, irrespective of its lack of medical validation.",-1
Assisted suicide should be a criminal offence,many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.,-1
We should subsidize embryonic stem cell research,many people feel it is unethical based on their definition on the beginning of life,-1
Homeopathy brings more harm than good,many people find relief from homeopathic remedies like yoga or meditation.,-1
Homeopathy brings more harm than good,many people find symptomatic relief by using homeopathic remedies,-1
We should abandon television,many people find television programmes entertaining or interesting,-1
We should abolish the right to keep and bear arms,many people get hurt by guns in accidents every year. if they weren’t so prevalent these injuries could be avoided.,1
Surrogacy should be banned,many people have been let down by surrogates that change their minds about handing over the baby and pocketing the money paid for expenses that it is obvious that lack of regulation means it should be banned.,1
We should abolish capital punishment,"many people have been wrongly executed for crimes that dna has proven they didn’t commit, and therefore capital punishment should be abolished.",1
We should end mandatory retirement,"Many people in highly skilled professions such as lawyers and doctors lose the physical ability to perform their high stress jobs, and mandatory retirement safeguards against the ill effects of aging on society.",-1
We should abolish safe spaces,many people lack the capacity to deal with tense or uncomfortable situations and need a space space to retreat to.,-1
We should ban naturopathy,many people live far from medical professionals and have to rely on naturopathy to get better,-1
We should end affirmative action,"many people may miss out on opportunities due to the prejudices of others, leading to them having less experience and therefore fewer chances in life. affirmative action prevents this from happening.",-1
We should end mandatory retirement,many people now cannot afford to live on their pension and pay for healthcare - thus making them retire is condemning them to ill health and poverty almost certainly resulting in premature death.,1
We should legalize polygamy,many people now have open relationships and find these more happy & fulfilling & polygamy would help to reduce the amount of people cheating in a relationship,1
Foster care brings more harm than good,many people only foster for the paycheck and don’t actually care about the children.,1
We should ban whaling,many people still eat whales for food we kill other animals and there isnt a public outcry about it.,-1
We should abandon television,many people still rely on television as a source of news and entertainment,-1
We should end mandatory retirement,"Many people that are forced into retirement often do not have the means of supporting themselves financially, and so either turn to part time, low-wage work or welfare to sustain themselves.",1
We should subsidize Wikipedia,many people turn to wikipedia for information and trust it to be correct so subsidising it should ensure the content is reliable.,1
Surrogacy should be banned,many people want to have a child that is theirs but are unable to carry them.  surrogacy enables these people to have their own children.,-1
The vow of celibacy should be abandoned,many people want to know if a person is good in bed before marrying them,1
We should stop the development of autonomous cars,"many people who are not capable to drive, would be able to commute easily with autonomous cars",-1
We should abandon television,Many people who are unable to leave home due to disability or illness rely on television as their only link to the outside world and find it essential.,-1
Homeopathy brings more harm than good,many people who believe that homeopathic remedies have worked for them and feel better for using them surely are better using them than prescription medication that may have unwanted side effects.,-1
